City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
2,Vila Velha,BR,76.95,overcast clouds,-20.3297,-40.2925,Hotel Vitória Palace
10,Sao Jose Da Coroa Grande,BR,75.96,broken clouds,-8.8978,-35.1478,Crôa Mares Hotel
15,Kapaa,US,75.52,few clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
16,Tutubigan,PH,84.36,broken clouds,11.8397,125.0614,REMART LANG MALAKAS
23,Ailigandi,PA,76.86,overcast clouds,9.2333,-78.0167,Akwa Reef Lodge
25,Airai,TL,75.92,overcast clouds,-8.9266,125.4092,
26,Butaritari,KI,80.67,scattered clouds,3.0707,172.7902,Isles Sunset Lodge
30,Geraldton,AU,84.61,broken clouds,-28.7667,114.6,Broadwater Mariner Resort
31,Kavaratti,IN,81.23,overcast clouds,10.5669,72.642,Green leaf
32,Puerto Quijarro,BO,80.67,scattered clouds,-17.7833,-57.7667,Hotel palance
33,Yulara,AU,80.62,clear sky,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
34,Atuona,PF,77.92,light rain,-9.8,-139.0333,Villa Enata
35,Trairi,BR,80.02,broken clouds,-3.2778,-39.2689,janelas do mar
42,Touros,BR,77.63,few clouds,-5.1989,-35.4608,INN NEW HORIZON
47,Saint-Philippe,RE,76.12,light rain,-21.3585,55.7679,Le four à pain
49,Carnarvon,AU,83.59,clear sky,-24.8667,113.6333,Hospitality Carnarvon
55,Santa Marta,CO,76.89,few clouds,11.2408,-74.199,Hotel La Ballena Azul
59,Charlestown,AU,83.1,clear sky,-32.95,151.6667,Panorama Motor Inn Hotel
60,Luanda,AO,75.2,broken clouds,-8.8368,13.2343,EPIC SANA Luanda
69,Olinda,BR,80.33,scattered clouds,-8.0089,-34.8553,Flat Quatro Rodas Olinda
71,Oussouye,SN,76.89,overcast clouds,12.485,-16.5469,Auberge du Routard
81,Bajil,YE,79.5,clear sky,15.0584,43.2851,فندق حضرموت
82,Biak,ID,84.34,broken clouds,-0.9131,122.8766,Penginapan Kim
