City_ID,City,Lat,Lng,Max Temp,Current Description,Humidity,Cloudiness,Wind Speed,Country,Date
0,Garowe,8.4054,48.4845,74.86,few clouds,58,16,10.31,SO,2022-11-14 05:13:17
1,Rikitea,-23.1203,-134.9692,74.5,overcast clouds,87,98,12.82,PF,2022-11-14 05:13:18
2,Vila Velha,-20.3297,-40.2925,76.95,overcast clouds,91,100,11.99,BR,2022-11-14 05:13:19
3,New Norfolk,-42.7826,147.0587,56.91,moderate rain,75,100,4.0,AU,2022-11-14 05:13:19
4,Ushuaia,-54.8,-68.3,55.06,clear sky,50,0,9.22,AR,2022-11-14 05:13:20
5,Vardo,70.3705,31.1107,31.98,broken clouds,80,75,9.22,NO,2022-11-14 05:13:20
6,Punta Arenas,-53.15,-70.9167,55.51,clear sky,82,0,4.61,CL,2022-11-14 05:13:21
7,Cape Town,-33.9258,18.4232,65.91,clear sky,69,0,4.61,ZA,2022-11-14 05:13:21
8,Saskylakh,71.9167,114.0833,-7.71,overcast clouds,95,100,12.21,RU,2022-11-14 05:13:22
9,Castro,-24.7911,-50.0119,60.75,overcast clouds,98,100,2.95,BR,2022-11-14 05:13:23
10,Sao Jose Da Coroa Grande,-8.8978,-35.1478,75.96,broken clouds,88,79,3.4,BR,2022-11-14 05:13:23
11,Parkes,-33.1333,148.1833,62.29,overcast clouds,69,88,16.35,AU,2022-11-14 05:13:24
12,Ilulissat,69.2167,-51.1,28.42,scattered clouds,86,48,4.61,GL,2022-11-14 05:13:25
13,Upernavik,72.7868,-56.1549,19.42,overcast clouds,92,96,19.95,GL,2022-11-14 05:13:26
14,Busselton,-33.65,115.3333,71.06,clear sky,33,0,2.53,AU,2022-11-14 05:13:27
15,Kapaa,22.0752,-159.319,75.52,few clouds,83,20,16.11,US,2022-11-14 05:13:28
16,Tutubigan,11.8397,125.0614,84.36,broken clouds,76,82,7.02,PH,2022-11-14 05:13:28
17,Margate,51.3813,1.3862,51.91,scattered clouds,83,35,1.01,GB,2022-11-14 05:13:29
18,Hofn,64.2539,-15.2082,48.04,overcast clouds,92,100,10.07,IS,2022-11-14 05:13:30
19,Tessalit,20.1986,1.0114,70.5,broken clouds,19,80,11.27,ML,2022-11-14 05:13:30
20,Gornopravdinsk,60.05,69.9,24.22,light snow,93,100,12.44,RU,2022-11-14 05:13:31
21,Jamestown,42.097,-79.2353,33.03,overcast clouds,77,100,8.01,US,2022-11-14 05:13:31
22,Constitucion,-35.3333,-72.4167,52.09,clear sky,89,3,5.95,CL,2022-11-14 05:10:57
23,Ailigandi,9.2333,-78.0167,76.86,overcast clouds,88,99,5.84,PA,2022-11-14 05:13:32
24,Nuuk,64.1835,-51.7216,30.81,broken clouds,93,75,10.36,GL,2022-11-14 05:13:33
25,Airai,-8.9266,125.4092,75.92,overcast clouds,58,87,2.15,TL,2022-11-14 05:13:33
26,Butaritari,3.0707,172.7902,80.67,scattered clouds,73,35,8.55,KI,2022-11-14 05:13:34
27,Albany,42.6001,-73.9662,36.95,scattered clouds,69,45,1.01,US,2022-11-14 05:09:09
28,Sobolevo,54.4299,31.8996,40.15,overcast clouds,64,100,11.48,RU,2022-11-14 05:13:34
29,Barrow,71.2906,-156.7887,17.62,light snow,79,100,11.5,US,2022-11-14 05:13:35
30,Geraldton,-28.7667,114.6,84.61,broken clouds,28,75,17.27,AU,2022-11-14 05:13:35
31,Kavaratti,10.5669,72.642,81.23,overcast clouds,78,95,8.66,IN,2022-11-14 05:13:36
32,Puerto Quijarro,-17.7833,-57.7667,80.67,scattered clouds,57,47,0.65,BO,2022-11-14 05:13:36
33,Yulara,-25.2406,130.9889,80.62,clear sky,20,0,4.76,AU,2022-11-14 05:13:37
34,Atuona,-9.8,-139.0333,77.92,light rain,78,21,18.12,PF,2022-11-14 05:13:37
35,Trairi,-3.2778,-39.2689,80.02,broken clouds,74,74,12.12,BR,2022-11-14 05:08:49
36,Khatanga,71.9667,102.5,-19.34,overcast clouds,98,100,8.9,RU,2022-11-14 05:13:38
37,Nikolskoye,59.7035,30.7861,32.81,scattered clouds,86,27,2.13,RU,2022-11-14 05:13:38
38,Puerto Ayora,-0.7393,-90.3518,69.55,broken clouds,85,61,5.01,EC,2022-11-14 05:13:39
39,Sanmenxia,34.7747,111.1814,57.65,overcast clouds,35,92,6.22,CN,2022-11-14 05:13:40
40,Rensvik,63.1,7.8167,46.67,broken clouds,81,75,4.61,NO,2022-11-14 05:13:40
41,Olafsvik,64.8945,-23.7142,46.18,overcast clouds,86,100,15.5,IS,2022-11-14 05:13:40
42,Touros,-5.1989,-35.4608,77.63,few clouds,82,21,10.78,BR,2022-11-14 05:11:37
43,Thompson,55.7435,-97.8558,1.29,scattered clouds,99,43,3.27,CA,2022-11-14 05:13:41
44,Port Alfred,-33.5906,26.891,63.18,few clouds,85,16,1.01,ZA,2022-11-14 05:13:42
45,Port Said,31.2565,32.2841,72.86,clear sky,60,0,18.39,EG,2022-11-14 05:14:42
46,Tiksi,71.6872,128.8694,-7.89,overcast clouds,98,100,9.8,RU,2022-11-14 05:14:43
47,Saint-Philippe,-21.3585,55.7679,76.12,light rain,83,87,14.63,RE,2022-11-14 05:14:43
48,Codrington,-38.2667,141.9667,56.34,overcast clouds,70,100,18.77,AU,2022-11-14 05:14:44
49,Carnarvon,-24.8667,113.6333,83.59,clear sky,36,0,12.28,AU,2022-11-14 05:14:44
50,Kudymkar,59.0173,54.656,22.6,light snow,89,100,13.58,RU,2022-11-14 05:14:45
51,Vanavara,60.34,102.2797,1.38,light snow,93,100,12.88,RU,2022-11-14 05:14:47
52,Pevek,69.7008,170.3133,-3.21,light snow,97,100,1.99,RU,2022-11-14 05:14:47
53,Fortuna,40.5982,-124.1573,43.14,broken clouds,96,75,6.91,US,2022-11-14 05:14:48
54,Ponta Do Sol,32.6667,-17.1,67.71,few clouds,82,21,0.94,PT,2022-11-14 05:14:48
55,Santa Marta,11.2408,-74.199,76.89,few clouds,85,20,2.3,CO,2022-11-14 05:14:49
56,Guerrero Negro,27.9769,-114.0611,61.18,clear sky,69,2,14.54,MX,2022-11-14 05:14:49
57,Mataura,-46.1927,168.8643,71.65,scattered clouds,46,41,6.78,NZ,2022-11-14 05:14:50
58,Tuktoyaktuk,69.4541,-133.0374,11.37,broken clouds,97,83,2.19,CA,2022-11-14 05:14:50
59,Charlestown,-32.95,151.6667,83.1,clear sky,38,0,5.99,AU,2022-11-14 05:14:51
60,Luanda,-8.8368,13.2343,75.2,broken clouds,78,75,3.44,AO,2022-11-14 05:14:52
61,Hasaki,35.7333,140.8333,63.21,overcast clouds,56,98,21.14,JP,2022-11-14 05:14:52
62,Gat,31.61,34.7642,69.4,few clouds,75,17,6.08,IL,2022-11-14 05:14:53
63,Catalao,-18.1658,-47.9464,67.68,overcast clouds,85,100,2.91,BR,2022-11-14 05:14:53
64,Pareora,-44.4871,171.2132,58.17,overcast clouds,95,89,11.97,NZ,2022-11-14 05:14:54
65,Sitka,57.0531,-135.33,48.09,overcast clouds,76,100,11.5,US,2022-11-14 05:14:54
66,Evensk,61.95,159.2333,7.52,overcast clouds,91,92,8.84,RU,2022-11-14 05:14:55
67,Bredasdorp,-34.5322,20.0403,60.49,broken clouds,80,56,6.87,ZA,2022-11-14 05:14:55
68,Maralal,1.0968,36.698,61.79,few clouds,78,12,5.95,KE,2022-11-14 05:14:56
69,Olinda,-8.0089,-34.8553,80.33,scattered clouds,74,40,6.91,BR,2022-11-14 05:14:56
70,Clyde River,70.4692,-68.5914,3.43,light snow,78,100,20.71,CA,2022-11-14 05:14:57
71,Oussouye,12.485,-16.5469,76.89,overcast clouds,71,93,4.29,SN,2022-11-14 05:14:57
72,Urumqi,43.801,87.6005,34.75,clear sky,65,0,2.24,CN,2022-11-14 05:10:12
73,Ken Caryl,39.5773,-105.1169,28.89,broken clouds,43,63,3.0,US,2022-11-14 05:14:58
74,Lata,40.1629,-8.3327,56.07,overcast clouds,94,100,0.92,PT,2022-11-14 05:14:59
75,Narsaq,60.9167,-46.05,48.42,overcast clouds,63,100,10.2,GL,2022-11-14 05:14:59
76,Conde,-7.2597,-34.9075,74.66,few clouds,94,20,3.44,BR,2022-11-14 05:15:00
77,Lypnyazhka,48.4469,31.0761,39.65,broken clouds,92,65,7.0,UA,2022-11-14 05:15:01
78,Iwanai,42.9744,140.5089,43.79,broken clouds,56,75,4.65,JP,2022-11-14 05:05:28
79,Mayo,38.8876,-76.5119,42.94,clear sky,65,0,10.36,US,2022-11-14 05:15:02
80,Santa Rosa,14.3122,121.1114,92.1,broken clouds,67,77,14.81,PH,2022-11-14 05:13:12
81,Bajil,15.0584,43.2851,79.5,clear sky,65,0,2.51,YE,2022-11-14 05:15:03
82,Biak,-0.9131,122.8766,84.34,broken clouds,69,78,2.19,ID,2022-11-14 05:14:06
83,Chuy,-33.6971,-53.4616,65.62,overcast clouds,99,100,1.77,UY,2022-11-14 05:15:04
84,Kodiak,57.79,-152.4072,35.11,clear sky,87,0,3.44,US,2022-11-14 05:15:05
85,Moerai,-22.4333,-151.3333,70.07,few clouds,62,24,4.81,PF,2022-11-14 05:05:21
86,Lompoc,34.6391,-120.4579,52.21,clear sky,77,0,9.22,US,2022-11-14 05:15:06
