City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,San Vicente,-26.6167,-54.1333,57.45,99,98,1.63,AR,2022-09-20 04:26:28
1,Rikitea,-23.1203,-134.9692,73.11,77,6,14.65,PF,2022-09-20 04:26:28
2,Coos Bay,43.3665,-124.2179,56.23,100,0,0.0,US,2022-09-20 04:21:33
3,Cape Town,-33.9258,18.4232,56.12,82,20,4.61,ZA,2022-09-20 04:26:29
4,East London,-33.0153,27.9116,54.54,94,40,9.22,ZA,2022-09-20 04:26:29
5,Hubli,15.35,75.1667,75.24,83,40,11.5,IN,2022-09-20 04:26:30
6,Ushuaia,-54.8,-68.3,38.86,87,0,4.61,AR,2022-09-20 04:26:30
7,Vaini,-21.2,-175.2,77.16,78,75,10.36,TO,2022-09-20 04:26:31
8,Talnakh,69.4865,88.3972,33.21,71,7,11.88,RU,2022-09-20 04:26:31
9,Olafsvik,64.8945,-23.7142,50.85,95,100,11.12,IS,2022-09-20 04:26:31
10,Saint Anthony,45.0205,-93.218,71.38,68,0,9.22,US,2022-09-20 04:26:32
11,Puerto Ayora,-0.7393,-90.3518,67.55,94,65,7.0,EC,2022-09-20 04:26:32
12,Nikolskoye,59.7035,30.7861,51.69,90,100,9.86,RU,2022-09-20 04:26:33
13,Verkh-Usugli,52.7,115.1667,50.4,45,100,10.09,RU,2022-09-20 04:26:33
14,Hithadhoo,-0.6,73.0833,82.33,71,67,7.25,MV,2022-09-20 04:26:34
15,Cabo San Lucas,22.8909,-109.9124,81.52,84,80,7.0,MX,2022-09-20 04:26:34
16,Bulgan,48.8125,103.5347,57.92,34,0,14.34,MN,2022-09-20 04:26:34
17,Geraldton,-28.7667,114.6,66.61,59,100,3.44,AU,2022-09-20 04:26:35
18,Tamandare,-8.7597,-35.1047,73.09,84,15,5.48,BR,2022-09-20 04:26:35
19,Pevek,69.7008,170.3133,33.57,76,53,4.47,RU,2022-09-20 04:26:36
20,Petropavlovka,50.6114,105.3196,60.66,40,59,6.67,RU,2022-09-20 04:26:36
21,Dickinson,29.4608,-95.0513,82.98,88,0,0.0,US,2022-09-20 04:26:37
22,Jamestown,42.097,-79.2353,65.79,73,0,6.91,US,2022-09-20 04:23:26
23,Zhob,31.3411,69.4481,77.49,39,0,2.42,PK,2022-09-20 04:26:38
24,Khatanga,71.9667,102.5,29.97,73,68,10.02,RU,2022-09-20 04:26:39
25,Evensk,61.95,159.2333,47.97,54,100,19.37,RU,2022-09-20 04:26:39
26,Bluff,-46.6,168.3333,52.72,83,85,10.29,NZ,2022-09-20 04:26:40
27,Avarua,-21.2078,-159.775,73.45,83,100,6.91,CK,2022-09-20 04:26:40
28,Borgo San Lorenzo,43.9553,11.3835,62.62,86,41,5.37,IT,2022-09-20 04:26:40
29,Sarh,9.1429,18.3923,71.51,94,20,10.36,TD,2022-09-20 04:26:41
30,San Cristobal,7.7669,-72.225,71.78,97,100,2.75,VE,2022-09-20 04:26:41
31,Georgetown,5.4112,100.3354,85.95,74,20,4.61,MY,2022-09-20 04:22:44
32,Faanui,-16.4833,-151.75,78.69,70,0,11.43,PF,2022-09-20 04:26:42
33,Tatawin,32.9297,10.4518,81.03,31,45,2.98,TN,2022-09-20 04:26:42
34,Owando,-0.4819,15.8999,69.13,98,63,2.91,CG,2022-09-20 04:26:43
35,Ambon,-3.6954,128.1814,87.94,66,20,6.91,ID,2022-09-20 04:26:43
36,Ritchie,-29.038,24.6028,40.21,70,38,16.98,ZA,2022-09-20 04:26:44
37,Camana,-16.6228,-72.7111,60.04,83,97,9.31,PE,2022-09-20 04:26:44
38,Leningradskiy,69.3833,178.4167,31.95,84,94,12.39,RU,2022-09-20 04:26:45
39,Provideniya,64.3833,-173.3,42.91,75,75,4.47,RU,2022-09-20 04:26:45
40,Dikson,73.5069,80.5464,33.15,69,100,2.66,RU,2022-09-20 04:26:45
41,Mar Del Plata,-38.0023,-57.5575,48.09,89,100,12.66,AR,2022-09-20 04:22:55
42,Shenjiamen,29.9576,122.298,73.13,64,0,21.88,CN,2022-09-20 04:26:46
43,Ust-Kuyga,70.0167,135.6,35.04,64,78,10.83,RU,2022-09-20 04:26:47
44,Hasaki,35.7333,140.8333,72.0,83,100,26.66,JP,2022-09-20 04:26:47
45,Ostrovnoy,68.0531,39.5131,47.01,97,95,16.84,RU,2022-09-20 04:26:48
46,Longyearbyen,78.2186,15.6401,35.44,69,75,16.11,SJ,2022-09-20 04:27:49
47,Agogo,6.8,-1.0819,68.09,98,100,4.36,GH,2022-09-20 04:27:49
48,Pacific Grove,36.6177,-121.9166,63.01,92,100,5.99,US,2022-09-20 04:27:50
49,Butaritari,3.0707,172.7902,82.78,65,27,10.11,KI,2022-09-20 04:27:50
50,Albany,42.6001,-73.9662,63.95,95,15,5.32,US,2022-09-20 04:27:51
51,Airai,-8.9266,125.4092,75.31,52,65,5.64,TL,2022-09-20 04:27:51
52,Ponta Do Sol,32.6667,-17.1,70.72,84,34,3.94,PT,2022-09-20 04:27:52
53,Upernavik,72.7868,-56.1549,32.7,89,100,4.9,GL,2022-09-20 04:27:52
54,Kapaa,22.0752,-159.319,84.18,70,20,16.11,US,2022-09-20 04:27:53
55,Hanmer Springs,-42.5167,172.8167,58.15,61,44,7.07,NZ,2022-09-20 04:27:53
56,Keetmanshoop,-26.5833,18.1333,42.4,55,0,2.24,NA,2022-09-20 04:27:53
57,Wichian Buri,15.6578,101.106,81.45,80,99,8.37,TH,2022-09-20 04:27:54
58,Tombouctou,20.0,-3.0,90.32,17,41,4.52,ML,2022-09-20 04:27:54
59,Teacapan,22.55,-105.75,80.62,83,88,7.99,MX,2022-09-20 04:27:55
60,Salalah,17.0151,54.0924,80.69,83,75,4.61,OM,2022-09-20 04:27:55
61,Tiksi,71.6872,128.8694,35.11,94,100,9.89,RU,2022-09-20 04:27:55
62,Lavrentiya,65.5833,-171.0,41.02,72,100,5.95,RU,2022-09-20 04:27:56
63,Governador Dix-Sept Rosado,-5.4577,-37.5209,72.81,60,29,6.04,BR,2022-09-20 04:27:56
64,Punta Arenas,-53.15,-70.9167,37.51,81,0,10.36,CL,2022-09-20 04:27:57
65,Morondava,-20.2833,44.2833,73.63,69,0,1.97,MG,2022-09-20 04:27:57
66,Hobart,-42.8794,147.3294,62.26,55,75,8.05,AU,2022-09-20 04:27:58
67,Clyde River,70.4692,-68.5914,32.23,93,100,10.36,CA,2022-09-20 04:27:58
68,Yellowknife,62.456,-114.3525,45.12,76,75,4.61,CA,2022-09-20 04:27:59
69,Gambiran,-6.7988,111.4951,88.27,48,100,4.74,ID,2022-09-20 04:27:59
70,Kazanka,47.8462,32.8218,52.9,58,88,6.15,UA,2022-09-20 04:27:59
71,Esperance,-33.8667,121.9,61.57,67,85,16.11,AU,2022-09-20 04:28:00
72,Berdigestyakh,62.0989,126.6992,41.45,55,41,3.98,RU,2022-09-20 04:28:00
73,Atuona,-9.8,-139.0333,77.02,76,11,19.01,PF,2022-09-20 04:28:01
74,Kloulklubed,7.0419,134.2556,88.3,73,94,7.25,PW,2022-09-20 04:28:01
75,Sao Filipe,14.8961,-24.4956,78.01,77,44,9.15,CV,2022-09-20 04:28:02
76,Bonga,7.2833,36.2333,58.35,99,98,2.13,ET,2022-09-20 04:28:02
77,Kpandu,6.9954,0.2931,72.54,94,100,4.97,GH,2022-09-20 04:28:03
78,Rognan,67.0953,15.3878,46.89,92,90,4.76,NO,2022-09-20 04:28:03
79,New Norfolk,-42.7826,147.0587,61.92,61,67,3.0,AU,2022-09-20 04:28:04
80,San Policarpo,12.1791,125.5072,88.09,61,100,4.5,PH,2022-09-20 04:28:04
81,Mataura,-46.1927,168.8643,57.25,66,100,4.34,NZ,2022-09-20 04:28:05
82,Taoudenni,22.6783,-3.9836,91.9,20,18,16.11,ML,2022-09-20 04:28:06
83,Wenling,28.3669,121.36,77.97,53,0,16.33,CN,2022-09-20 04:28:06
84,San Patricio,28.017,-97.5169,87.84,71,0,9.01,US,2022-09-20 04:23:08
85,Bengkulu,-3.8004,102.2655,82.22,72,97,4.94,ID,2022-09-20 04:28:07
86,Victor Harbor,-35.5667,138.6167,63.68,75,100,11.39,AU,2022-09-20 04:28:08
87,Arraial Do Cabo,-22.9661,-42.0278,67.98,80,32,22.73,BR,2022-09-20 04:28:08
88,Gatehouse Of Fleet,54.882,-4.1843,55.08,86,100,3.51,GB,2022-09-20 04:28:09
89,Thompson,55.7435,-97.8558,51.96,93,75,3.44,CA,2022-09-20 04:28:09
90,Tsogni,-2.7942,10.0988,73.78,90,97,4.99,GA,2022-09-20 04:28:10
91,Senador Jose Porfirio,-2.5908,-51.9542,77.31,68,69,2.01,BR,2022-09-20 04:29:11
92,Inuvik,68.3499,-133.7218,45.46,65,40,9.22,CA,2022-09-20 04:29:11
93,Victoria,22.2855,114.1577,94.17,73,7,11.01,HK,2022-09-20 04:24:21
94,Isangel,-19.55,169.2667,79.3,75,7,12.8,VU,2022-09-20 04:29:12
95,Buraydah,26.326,43.975,84.65,13,82,5.59,SA,2022-09-20 04:29:12
96,Nyrob,60.733,56.7202,59.68,94,99,10.16,RU,2022-09-20 04:29:13
97,College,64.8569,-147.8028,51.78,85,75,5.75,US,2022-09-20 04:29:14
98,Panara,22.0667,78.55,77.59,76,38,11.3,IN,2022-09-20 04:29:14
99,Barrow,71.2906,-156.7887,41.02,87,0,6.91,US,2022-09-20 04:29:15
100,Saint-Philippe,-21.3585,55.7679,72.99,82,39,13.38,RE,2022-09-20 04:29:15
101,Gonen,40.1049,27.654,59.02,41,18,2.35,TR,2022-09-20 04:29:16
102,Otofuke,42.9917,143.2003,63.55,71,99,9.31,JP,2022-09-20 04:29:17
103,Kabo,7.6994,18.629,70.07,98,94,2.55,CF,2022-09-20 04:29:18
104,Kalabo,-14.97,22.6814,67.86,60,17,5.84,ZM,2022-09-20 04:29:18
105,Khorixas,-20.3667,14.9667,53.6,24,0,7.7,NA,2022-09-20 04:29:18
106,Codrington,-38.2667,141.9667,63.03,66,100,13.98,AU,2022-09-20 04:29:19
107,Chumikan,54.7183,135.315,45.77,46,100,19.22,RU,2022-09-20 04:29:19
108,Kodiak,57.79,-152.4072,54.91,76,20,10.36,US,2022-09-20 04:29:20
109,Anadyr,64.75,177.4833,45.1,61,20,13.42,RU,2022-09-20 04:29:20
110,Aripuana,-9.1667,-60.6333,77.85,65,53,1.61,BR,2022-09-20 04:29:21
111,Lompoc,34.6391,-120.4579,68.14,95,20,1.01,US,2022-09-20 04:25:00
112,Safford,32.834,-109.7076,84.11,54,20,4.61,US,2022-09-20 04:29:21
